Jday,Season,Year,Date,Site,Treatment,Cultivar,No_buds,No_buds_damaged,No_primordia_damaged,Percent_damage
304,2,2020,2020-10-30,Coldstream,PDI_25,Sweetheart,100,2,4,1.21
304,2,2020,2020-10-30,Coldstream,PDI_50,Sweetheart,100,0,0,0.00
304,2,2020,2020-10-30,Coldstream,Control,Sweetheart,100,0,0,0.00
19,2,2021,2021-01-19,Coldstream,PDI_25,Sweetheart,50,1,1,0.61
19,2,2021,2021-01-19,Coldstream,PDI_50,Sweetheart,50,0,0,0.00
19,2,2021,2021-01-19,Coldstream,Control,Sweetheart,50,1,3,1.82
26,2,2021,2021-01-26,Coldstream,PDI_25,Sweetheart,50,0,0,0.00
26,2,2021,2021-01-26,Coldstream,PDI_50,Sweetheart,50,0,0,0.00
26,2,2021,2021-01-26,Coldstream,Control,Sweetheart,50,0,0,0.00
40,2,2021,2021-02-09,Coldstream,PDI_25,Sweetheart,50,3,11,6.67
40,2,2021,2021-02-09,Coldstream,PDI_50,Sweetheart,50,2,7,4.24
40,2,2021,2021-02-09,Coldstream,Control,Sweetheart,50,7,21,12.73
43,2,2021,2021-02-12,Coldstream,PDI_25,Sweetheart,50,9,30,18.18
43,2,2021,2021-02-12,Coldstream,PDI_50,Sweetheart,50,6,19,11.52
43,2,2021,2021-02-12,Coldstream,Control,Sweetheart,50,7,22,13.33
54,2,2021,2021-02-23,Coldstream,PDI_25,Sweetheart,50,1,3,1.82
54,2,2021,2021-02-23,Coldstream,PDI_50,Sweetheart,50,8,27,16.36
54,2,2021,2021-02-23,Coldstream,Control,Sweetheart,50,4,14,8.48
68,2,2021,2021-03-09,Coldstream,PDI_25,Sweetheart,100,NA,54,16.36
68,2,2021,2021-03-09,Coldstream,PDI_50,Sweetheart,100,NA,42,12.72
68,2,2021,2021-03-09,Coldstream,Control,Sweetheart,100,NA,74,22.96
304,2,2020,2020-10-30,Belgo,PDI_25,Sweetheart,100,15,27,7.30
304,2,2020,2020-10-30,Belgo,PDI_50,Sweetheart,100,20,37,10.00
304,2,2020,2020-10-30,Belgo,Control,Sweetheart,100,6,10,2.70
311,2,2020,2020-11-06,Belgo,PDI_25,Sweetheart,50,6,14,7.57
311,2,2020,2020-11-06,Belgo,PDI_50,Sweetheart,50,8,17,9.19
311,2,2020,2020-11-06,Belgo,Control,Sweetheart,50,7,13,7.03
19,2,2021,2021-01-19,Belgo,PDI_25,Sweetheart,50,5,7,3.78
19,2,2021,2021-01-19,Belgo,PDI_50,Sweetheart,50,5,9,4.86
19,2,2021,2021-01-19,Belgo,Control,Sweetheart,50,5,9,4.86
26,2,2021,2021-01-26,Belgo,PDI_25,Sweetheart,50,5,9,4.86
26,2,2021,2021-01-26,Belgo,PDI_50,Sweetheart,50,5,6,3.24
26,2,2021,2021-01-26,Belgo,Control,Sweetheart,50,4,6,3.24
