"Date","Year","Month","Day","Time","Site","Temp_max","Temp_min","Temp_mean","Temp_max.lag1","Temp_max.lag2","Temp_max.lag3","Temp_min.lag1","Temp_min.lag2","Temp_min.lag3","Temp_mean.lag1","Temp_mean.lag2","Temp_mean.lag3","Variety","LT50","LT90","LT10","Measurement","cherry_model_raw","cherry_model","cherry_model_final","Sweetheart_cherry_model","cherry_model_accumulated","Sweetheart_cherry_forcingBB","Sweetheart_cherry_forcingBB_final","Sweetheart_cherry_forcingBB_final_log","Sweetheart_cherry_model_forcingBB"
2019-08-03,2019,8,3,"12:00:00","Martens",28.07,12.36,20.62,30.72,32.48,30.77,16.37,15.37,14.98,23,23.74,22.89,NA,NA,NA,NA,NA,-1,-47.1718,0,0,0,0,0,2.3026,0
2019-08-04,2019,8,4,"12:00:00","Martens",30.07,12.12,21.34,28.07,30.72,32.48,12.36,16.37,15.37,20.62,23,23.74,NA,NA,NA,NA,NA,-1,-61.858,0,0,0,0,0,2.3026,0
2019-08-05,2019,8,5,"12:00:00","Martens",33.63,13.28,22.88,30.07,28.07,30.72,12.12,12.36,16.37,21.34,20.62,23,NA,NA,NA,NA,NA,-1,-79.178,0,0,0,0,0,2.3026,0
2019-08-06,2019,8,6,"12:00:00","Martens",33.7,15.7,24.14,33.63,30.07,28.07,13.28,12.12,12.36,22.88,21.34,20.62,NA,NA,NA,NA,NA,-1,-99.236,0,0,0,0,0,2.3026,0
2019-08-07,2019,8,7,"12:00:00","Martens",35.58,14.96,24.98,33.7,33.63,30.07,15.7,13.28,12.12,24.14,22.88,21.34,NA,NA,NA,NA,NA,-1,-119.2844,0,0,0,0,0,2.3026,0
2019-08-08,2019,8,8,"12:00:00","Martens",34.84,15.34,26.15,35.58,33.7,33.63,14.96,15.7,13.28,24.98,24.14,22.88,NA,NA,NA,NA,NA,-1,-138.8385,0,0,0,0,0,2.3026,0
2019-08-09,2019,8,9,"12:00:00","Martens",28.3,15.34,23.42,34.84,35.58,33.7,15.34,14.96,15.7,26.15,24.98,24.14,NA,NA,NA,NA,NA,-1,-160.8659,0,0,0,0,0,2.3026,0
2019-08-10,2019,8,10,"12:00:00","Martens",27.41,17.63,21.65,28.3,34.84,35.58,15.34,15.34,14.96,23.42,26.15,24.98,NA,NA,NA,NA,NA,-1,-184.3659,0,0,0,0,0,2.3026,0
2019-08-11,2019,8,11,"12:00:00","Martens",20.84,14.65,16.88,27.41,28.3,34.84,17.63,15.34,15.34,21.65,23.42,26.15,NA,NA,NA,NA,NA,-1,-199.3944,0,0,0,0,0,2.3026,0
2019-08-12,2019,8,12,"12:00:00","Martens",26.28,13.21,19.5,20.84,27.41,28.3,14.65,17.63,15.34,16.88,21.65,23.42,NA,NA,NA,NA,NA,-1,-209.4025,0,0,0,0,0,2.3026,0
2019-08-13,2019,8,13,"12:00:00","Martens",25.52,12.82,18.04,26.28,20.84,27.41,13.21,14.65,17.63,19.5,16.88,21.65,NA,NA,NA,NA,NA,-1,-225.4902,0,0,0,0,0,2.3026,0
2019-08-14,2019,8,14,"12:00:00","Martens",28.54,13.28,20.32,25.52,26.28,20.84,12.82,13.21,14.65,18.04,19.5,16.88,NA,NA,NA,NA,NA,-1,-238.1999,0,0,0,0,0,2.3026,0
2019-08-15,2019,8,15,"12:00:00","Martens",29.99,13.83,21.04,28.54,25.52,26.28,13.28,12.82,13.21,20.32,18.04,19.5,NA,NA,NA,NA,NA,-1,-255.1668,0,0,0,0,0,2.3026,0
2019-08-16,2019,8,16,"12:00:00","Martens",25.07,15.58,19.84,29.99,28.54,25.52,13.83,13.28,12.82,21.04,20.32,18.04,NA,NA,NA,NA,NA,-1,-278.6668,0,0,0,0,0,2.3026,0
2019-08-17,2019,8,17,"12:00:00","Martens",25.96,10.81,18.99,25.07,29.99,28.54,15.58,13.83,13.28,19.84,21.04,20.32,NA,NA,NA,NA,NA,-1,-290.8178,0,0,0,0,0,2.3026,0
2019-08-18,2019,8,18,"12:00:00","Martens",29.52,8.84,21.26,25.96,25.07,29.99,10.81,15.58,13.83,18.99,19.84,21.04,NA,NA,NA,NA,NA,-1,-307.5101,0,0,0,0,0,2.3026,0
2019-08-19,2019,8,19,"12:00:00","Martens",28.89,12.65,20.59,29.52,25.96,25.07,8.84,10.81,15.58,21.26,18.99,19.84,NA,NA,NA,NA,NA,-1,-323.064,0,0,0,0,0,2.3026,0
2019-08-20,2019,8,20,"12:00:00","Martens",30.32,11.81,20.77,28.89,29.52,25.96,12.65,8.84,10.81,20.59,21.26,18.99,NA,NA,NA,NA,NA,-1,-338.7499,0,0,0,0,0,2.3026,0
2019-08-21,2019,8,21,"12:00:00","Martens",23.91,12.12,19.29,30.32,28.89,29.52,11.81,12.65,8.84,20.77,20.59,21.26,NA,NA,NA,NA,NA,-1,-356.9231,0,0,0,0,0,2.3026,0
2019-08-22,2019,8,22,"12:00:00","Martens",25.33,11.66,19.55,23.91,30.32,28.89,12.12,11.81,12.65,19.29,20.77,20.59,NA,NA,NA,NA,NA,-1,-374.4382,0,0,0,0,0,2.3026,0
2019-08-23,2019,8,23,"12:00:00","Martens",18.15,12.17,15.4,25.33,23.91,30.32,11.66,12.12,11.81,19.55,19.29,20.77,NA,NA,NA,NA,NA,-0.5,-384.4917,0,0,0,0,0,2.3026,0
2019-08-24,2019,8,24,"12:00:00","Martens",23.33,10.59,17.06,18.15,25.33,23.91,12.17,11.66,12.12,15.4,19.55,19.29,NA,NA,NA,NA,NA,-1,-391.4044,0,0,0,0,0,2.3026,0
2019-08-25,2019,8,25,"12:00:00","Martens",21.89,13.14,17.48,23.33,18.15,25.33,10.59,12.17,11.66,17.06,15.4,19.55,NA,NA,NA,NA,NA,-1,-406.7129,0,0,0,0,0,2.3026,0
2019-08-26,2019,8,26,"12:00:00","Martens",24.85,10.3,17.47,21.89,23.33,18.15,13.14,10.59,12.17,17.48,17.06,15.4,NA,NA,NA,NA,NA,-1,-416.8113,0,0,0,0,0,2.3026,0
2019-08-27,2019,8,27,"12:00:00","Martens",27.43,9.44,17.73,24.85,21.89,23.33,10.3,13.14,10.59,17.47,17.48,17.06,NA,NA,NA,NA,NA,-1,-425.9654,0,0,0,0,0,2.3026,0
