"Date","Year","Month","Day","Time","Site","Temp_max","Temp_min","Temp_mean","Temp_max.lag1","Temp_max.lag2","Temp_max.lag3","Temp_min.lag1","Temp_min.lag2","Temp_min.lag3","Temp_mean.lag1","Temp_mean.lag2","Temp_mean.lag3","Variety","LT50","LT90","LT10","Measurement","cherry_model_raw","cherry_model","cherry_model_final","Sweetheart_cherry_model","cherry_model_accumulated","Sweetheart_cherry_forcingBB","Sweetheart_cherry_forcingBB_final","Sweetheart_cherry_forcingBB_final_log","Sweetheart_cherry_model_forcingBB"
2019-08-01,2019,8,1,"12:00:00","Savanna",29.59,14.31,22.34,29.09,28.94,31.54,15.39,13.28,8.84,22.08,22.06,20.84,NA,NA,NA,NA,NA,-1,-6.9175,0,0,0,0,0,2.3026,0
2019-08-02,2019,8,2,"12:00:00","Savanna",26.48,12.9,20.39,29.59,29.09,28.94,14.31,15.39,13.28,22.34,22.08,22.06,NA,NA,NA,NA,NA,-1,-24.0219,0,0,0,0,0,2.3026,0
2019-08-03,2019,8,3,"12:00:00","Savanna",24.99,8.3,17.92,26.48,29.59,29.09,12.9,14.31,15.39,20.39,22.34,22.08,NA,NA,NA,NA,NA,-1,-36.8014,0,0,0,0,0,2.3026,0
2019-08-04,2019,8,4,"12:00:00","Savanna",28.49,6.86,18.05,24.99,26.48,29.59,8.3,12.9,14.31,17.92,20.39,22.34,NA,NA,NA,NA,NA,-1,-43.4724,0,0,0,0,0,2.3026,0
2019-08-05,2019,8,5,"12:00:00","Savanna",31.56,8.27,20.69,28.49,24.99,26.48,6.86,8.3,12.9,18.05,17.92,20.39,NA,NA,NA,NA,NA,-1,-53.5448,0,0,0,0,0,2.3026,0
2019-08-06,2019,8,6,"12:00:00","Savanna",33.6,10.32,23.12,31.56,28.49,24.99,8.27,6.86,8.3,20.69,18.05,17.92,NA,NA,NA,NA,NA,-1,-67.4705,0,0,0,0,0,2.3026,0
2019-08-07,2019,8,7,"12:00:00","Savanna",35.37,11.64,24.46,33.6,31.56,28.49,10.32,8.27,6.86,23.12,20.69,18.05,NA,NA,NA,NA,NA,-1,-84.598,0,0,0,0,0,2.3026,0
2019-08-08,2019,8,8,"12:00:00","Savanna",35.18,16.7,25.88,35.37,33.6,31.56,11.64,10.32,8.27,24.46,23.12,20.69,NA,NA,NA,NA,NA,-1,-108.098,0,0,0,0,0,2.3026,0
2019-08-09,2019,8,9,"12:00:00","Savanna",30.29,14.12,22.56,35.18,35.37,33.6,16.7,11.64,10.32,25.88,24.46,23.12,NA,NA,NA,NA,NA,-1,-128.5418,0,0,0,0,0,2.3026,0
2019-08-10,2019,8,10,"12:00:00","Savanna",25.14,14.41,18.95,30.29,35.18,35.37,14.12,16.7,11.64,22.56,25.88,24.46,NA,NA,NA,NA,NA,-1,-143.5645,0,0,0,0,0,2.3026,0
2019-08-11,2019,8,11,"12:00:00","Savanna",19.32,13.62,16.23,25.14,30.29,35.18,14.41,14.12,16.7,18.95,22.56,25.88,NA,NA,NA,NA,NA,-1,-157.7708,0,0,0,0,0,2.3026,0
2019-08-12,2019,8,12,"12:00:00","Savanna",25.55,13.06,18.67,19.32,25.14,30.29,13.62,14.41,14.12,16.23,18.95,22.56,NA,NA,NA,NA,NA,-1,-167.8811,0,0,0,0,0,2.3026,0
2019-08-13,2019,8,13,"12:00:00","Savanna",25.79,8.92,16.42,25.55,19.32,25.14,13.06,13.62,14.41,18.67,16.23,18.95,NA,NA,NA,NA,NA,-1,-177.6754,0,0,0,0,0,2.3026,0
2019-08-14,2019,8,14,"12:00:00","Savanna",28.69,9.8,18.87,25.79,25.55,19.32,8.92,13.06,13.62,16.42,18.67,16.23,NA,NA,NA,NA,NA,-1,-185.5238,0,0,0,0,0,2.3026,0
2019-08-15,2019,8,15,"12:00:00","Savanna",28.87,10.42,19.93,28.69,25.79,25.55,9.8,8.92,13.06,18.87,16.42,18.67,NA,NA,NA,NA,NA,-1,-199.1387,0,0,0,0,0,2.3026,0
2019-08-16,2019,8,16,"12:00:00","Savanna",22.87,16.34,19.08,28.87,28.69,25.79,10.42,9.8,8.92,19.93,18.87,16.42,NA,NA,NA,NA,NA,-1,-221.6387,0,0,0,0,0,2.3026,0
2019-08-17,2019,8,17,"12:00:00","Savanna",24.12,10.54,17.98,22.87,28.87,28.69,16.34,10.42,9.8,19.08,19.93,18.87,NA,NA,NA,NA,NA,-1,-235.0824,0,0,0,0,0,2.3026,0
2019-08-18,2019,8,18,"12:00:00","Savanna",30.19,13.88,21.19,24.12,22.87,28.87,10.54,16.34,10.42,17.98,19.08,19.93,NA,NA,NA,NA,NA,-1,-248.6093,0,0,0,0,0,2.3026,0
2019-08-19,2019,8,19,"12:00:00","Savanna",29.41,11.47,21.14,30.19,24.12,22.87,13.88,10.54,16.34,21.19,17.98,19.08,NA,NA,NA,NA,NA,-1,-264.5757,0,0,0,0,0,2.3026,0
2019-08-20,2019,8,20,"12:00:00","Savanna",32.02,8.24,20.39,29.41,30.19,24.12,11.47,13.88,10.54,21.14,21.19,17.98,NA,NA,NA,NA,NA,-1,-275.5933,0,0,0,0,0,2.3026,0
2019-08-21,2019,8,21,"12:00:00","Savanna",25.87,13.62,18.77,32.02,29.41,30.19,8.24,11.47,13.88,20.39,21.14,21.19,NA,NA,NA,NA,NA,-1,-293.5391,0,0,0,0,0,2.3026,0
2019-08-22,2019,8,22,"12:00:00","Savanna",25.33,10.83,18.32,25.87,32.02,29.41,13.62,8.24,11.47,18.77,20.39,21.14,NA,NA,NA,NA,NA,-1,-305.0771,0,0,0,0,0,2.3026,0
2019-08-23,2019,8,23,"12:00:00","Savanna",18.7,8.37,13.78,25.33,25.87,32.02,10.83,13.62,8.24,18.32,18.77,20.39,NA,NA,NA,NA,NA,-0.0267,-306.2,0,0,0,0,0,2.3026,0
