"Date","Year","Month","Day","Time","Site","Temp_max","Temp_min","Temp_mean","Temp_max.lag1","Temp_max.lag2","Temp_max.lag3","Temp_min.lag1","Temp_min.lag2","Temp_min.lag3","Temp_mean.lag1","Temp_mean.lag2","Temp_mean.lag3","Variety","LT50","LT90","LT10","Measurement","cherry_model_raw","cherry_model","cherry_model_final","Sweetheart_cherry_model","cherry_model_accumulated","Sweetheart_cherry_forcingBB","Sweetheart_cherry_forcingBB_final","Sweetheart_cherry_forcingBB_final_log","Sweetheart_cherry_model_forcingBB"
2020-09-04,2020,9,4,"12:00:00","Slater",28.49,10.17,19.14,28.27,25.87,28.82,11.61,18.08,10.35,19.8,21.26,19.95,NA,NA,NA,NA,NA,-1,-52.362,0,0,0,0,0,2.3026,0
2020-09-05,2020,9,5,"12:00:00","Slater",32.17,13.04,22.91,28.49,28.27,25.87,10.17,11.61,18.08,19.14,19.8,21.26,NA,NA,NA,NA,NA,-1,-69.2922,0,0,0,0,0,2.3026,0
2020-09-06,2020,9,6,"12:00:00","Slater",30.37,15.32,22.83,32.17,28.49,28.27,13.04,10.17,11.61,22.91,19.14,19.8,NA,NA,NA,NA,NA,-1,-87.8563,0,0,0,0,0,2.3026,0
2020-09-07,2020,9,7,"12:00:00","Slater",24.48,11.08,18.86,30.37,32.17,28.49,15.32,13.04,10.17,22.83,22.91,19.14,NA,NA,NA,NA,NA,-1,-108.4047,0,0,0,0,0,2.3026,0
2020-09-08,2020,9,8,"12:00:00","Slater",23.02,6.38,13.94,24.48,30.37,32.17,11.08,15.32,13.04,18.86,22.83,22.91,NA,NA,NA,NA,NA,-1,-107.97,0,0,0,0,0,2.3026,0
2020-09-09,2020,9,9,"12:00:00","Slater",27.33,7.77,16.3,23.02,24.48,30.37,6.38,11.08,15.32,13.94,18.86,22.83,NA,NA,NA,NA,NA,-1,-112.1739,0,0,0,0,0,2.3026,0
2020-09-10,2020,9,10,"12:00:00","Slater",27.9,10.17,18.03,27.33,23.02,24.48,7.77,6.38,11.08,16.3,13.94,18.86,NA,NA,NA,NA,NA,-1,-120.2722,0,0,0,0,0,2.3026,0
2020-09-11,2020,9,11,"12:00:00","Slater",28.84,11.25,19.17,27.9,27.33,23.02,10.17,7.77,6.38,18.03,16.3,13.94,NA,NA,NA,NA,NA,-1,-131.542,0,0,0,0,0,2.3026,0
2020-09-12,2020,9,12,"12:00:00","Slater",27.73,9.44,18.44,28.84,27.9,27.33,11.25,10.17,7.77,19.17,18.03,16.3,NA,NA,NA,NA,NA,-1,-142.6415,0,0,0,0,0,2.3026,0
2020-09-13,2020,9,13,"12:00:00","Slater",22.27,11.71,16.41,27.73,28.84,27.9,9.44,11.25,10.17,18.44,19.17,18.03,NA,NA,NA,NA,NA,-1,-153.1636,0,0,0,0,0,2.3026,0
2020-09-14,2020,9,14,"12:00:00","Slater",22.39,13.11,16.22,22.27,27.73,28.84,11.71,9.44,11.25,16.41,18.44,19.17,NA,NA,NA,NA,NA,-1,-161.6071,0,0,0,0,0,2.3026,0
